ÐòºÅ     x×ø±ê             y×ø±ê
N 459  G00X-2441.614   Y 540.081 
N 460  G00X-2442.862   Y 542.013 
N 461  G00X-2444.23    Y 543.862 
N 462  G00X-2445.717   Y 545.627 
N 463  G00X-2447.323   Y 547.309 
N 464  G00X-2449.047   Y 548.908 
N 465  G00X-2450.891   Y 550.423 
N 466  G00X-2452.854   Y 551.855 
N 467  G00X-2454.935   Y 553.204 
N 468  G00X-2457.135   Y 554.469 
N 469  G00X-2459.455   Y 555.651 
N 470  G00X-2459.455   Y 555.651 
N 471  G00X-2461.848   Y 556.763 
N 472  G00X-2464.269   Y 557.818 
N 473  G00X-2466.719   Y 558.816 
N 474  G00X-2469.197   Y 559.757 
N 475  G00X-2471.703   Y 560.64 
N 476  G00X-2474.238   Y 561.467 
N 477  G00X-2476.8     Y 562.237 
N 478  G00X-2479.392   Y 562.95 
N 479  G00X-2482.011   Y 563.605 
N 480  G00X-2484.659   Y 564.204 
N 481  G00X-2487.335   Y 564.746 
N 482  G00X-2490.04    Y 565.23 
N 483  G00X-2492.773   Y 565.658 
N 484  G00X-2495.534   Y 566.029 
N 485  G00X-2498.323   Y 566.342 
N 486  G00X-2501.141   Y 566.599 
N 487  G00X-2503.987   Y 566.798 
N 488  G00X-2506.862   Y 566.941 
N 489  G00X-2509.764   Y 567.026 
N 490  G00X-2512.695   Y 567.055 
N 491  G00X-2512.695   Y 567.055 
N 492  G00X-2571.6     Y 567.055 
N 493  G00X-2571.6     Y 567.055 
N 494  G00X-2571.6     Y 460.037 
N 495  G00X-2571.6     Y 460.037 
N 496  G00X-2519.492   Y 460.037 
N 497  G00X-2519.492   Y 460.037 
N 498  G00X-2515.462   Y 460.068 
N 499  G00X-2511.529   Y 460.16 
N 500  G00X-2507.691   Y 460.314 
N 501  G00X-2503.95    Y 460.528 
N 502  G00X-2500.306   Y 460.805 
N 503  G00X-2496.757   Y 461.142 
N 504  G00X-2493.305   Y 461.542 
N 505  G00X-2489.949   Y 462.002 
N 506  G00X-2486.69    Y 462.524 
N 507  G00X-2483.526   Y 463.107 
N 508  G00X-2480.459   Y 463.752 
N 509  G00X-2477.489   Y 464.458 
N 510  G00X-2474.614   Y 465.226 
N 511  G00X-2471.836   Y 466.055 
N 512  G00X-2469.154   Y 466.945 
N 513  G00X-2466.569   Y 467.897 
N 514  G00X-2464.079   Y 468.91 
N 515  G00X-2461.686   Y 469.985 
N 516  G00X-2459.39    Y 471.121 
N 517  G00X-2457.189   Y 472.318 
N 518  G00X-2457.189   Y 472.318 
N 519  G00X-2455.091   Y 473.594 
N 520  G00X-2453.1     Y 474.967 
N 521  G00X-2451.217   Y 476.436 
N 522  G00X-2449.441   Y 478.002 
N 523  G00X-2447.773   Y 479.664 
N 524  G00X-2446.213   Y 481.423 
N 525  G00X-2444.76    Y 483.278 
N 526  G00X-2443.415   Y 485.23 
N 527  G00X-2442.177   Y 487.279 
N 528  G00X-2441.047   Y 489.423 
N 529  G00X-2440.025   Y 491.664 
N 530  G00X-2439.11    Y 494.002 
N 531  G00X-2438.303   Y 496.436 
N 532  G00X-2437.604   Y 498.967 
N 533  G00X-2437.012   Y 501.594 
N 534  G00X-2436.527   Y 504.318 
N 535  G00X-2436.151   Y 507.138 
N 536  G00X-2435.882   Y 510.055 
N 537  G00X-2435.72    Y 513.068 
N 538  G00X-2435.666   Y 516.178 
N 539  G00X 999999     Y 999999 
N 540  G00X-2065.651   Y 52.323 
N 541  G00X-2065.649   Y 53.59 
N 542  G00X-2065.655   Y 54.854 
N 543  G00X-2065.668   Y 56.115 
N 544  G00X-2065.688   Y 57.372 
N 545  G00X-2065.715   Y 58.625 
N 546  G00X-2065.749   Y 59.872 
N 547  G00X-2065.789   Y 61.112 
N 548  G00X-2065.836   Y 62.346 
N 549  G00X-2065.89    Y 63.572 
N 550  G00X-2065.95    Y 64.789 
N 551  G00X-2066.016   Y 65.997 
N 552  G00X-2066.089   Y 67.195 
N 553  G00X-2066.168   Y 68.382 
N 554  G00X-2066.253   Y 69.558 
N 555  G00X-2066.344   Y 70.721 
N 556  G00X-2066.441   Y 71.87 
N 557  G00X-2066.544   Y 73.006 
N 558  G00X-2066.652   Y 74.128 
